epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,24075.9,0.78304,1.13723,1.33885,0.31326,0.68828,0.37941,0.27101,1.37426,2.66955,2.66323,0.000847813,0.000847813,0.000847813
67,24438.6,0.7115,1.03052,1.31,0.33443,0.50278,0.36338,0.26711,1.34938,2.46023,2.46018,0.000841625,0.000841625,0.000841625
68,24803.2,0.76588,1.09306,1.3828,0.32832,0.6716,0.37375,0.239,1.57233,1.92862,3.1271,0.000835438,0.000835438,0.000835438
69,25166.9,0.81287,1.1414,1.37822,0.29193,0.44167,0.31016,0.21077,1.5243,3.46368,2.95253,0.00082925,0.00082925,0.00082925
70,25528.3,0.80912,1.09295,1.3802,0.33979,0.49991,0.36511,0.24469,1.20361,2.10841,2.38364,0.000823063,0.000823063,0.000823063
71,25890.3,0.68483,1.03069,1.2841,0.36775,0.50967,0.43296,0.30165,1.44358,2.66126,2.82685,0.000816875,0.000816875,0.000816875
72,26251.1,0.75264,1.06221,1.3163,0.48466,0.39214,0.42522,0.28079,1.27427,3.05112,2.55173,0.000810688,0.000810688,0.000810688
73,26612,0.73221,0.98065,1.29731,0.33319,0.47732,0.40811,0.30521,1.03406,2.70853,2.1365,0.0008045,0.0008045,0.0008045
74,26974.1,0.72045,0.99748,1.28454,0.3343,0.31905,0.28186,0.18253,1.47821,2.41745,2.55902,0.000798313,0.000798313,0.000798313
75,27334,0.81826,1.08677,1.37722,0.34901,0.652,0.45238,0.30615,1.20442,3.35825,2.55117,0.000792125,0.000792125,0.000792125
76,27696.7,0.7313,0.9032,1.30223,0.32372,0.42586,0.34183,0.22266,1.20043,3.2039,2.22504,0.000785938,0.000785938,0.000785938
77,28060.3,0.75085,1.06571,1.31496,0.30139,0.6,0.43663,0.30223,1.37911,3.29538,2.93488,0.00077975,0.00077975,0.00077975
78,28422.7,0.72523,1.022,1.29153,0.33369,0.46246,0.40565,0.28322,1.51606,2.83179,2.75395,0.000773563,0.000773563,0.000773563
79,28785.7,0.67017,0.99185,1.28192,0.30572,0.35811,0.32386,0.21477,1.51027,2.77222,2.80514,0.000767375,0.000767375,0.000767375
80,29145.9,0.73072,1.02125,1.29919,0.40088,0.325,0.39201,0.24723,1.56792,2.33568,2.86564,0.000761188,0.000761188,0.000761188
81,29506,0.67059,0.93955,1.28187,0.42078,0.42588,0.4332,0.32427,1.39246,2.81692,2.21285,0.000755,0.000755,0.000755
82,29867,0.66369,0.95227,1.25822,0.30869,0.56389,0.40962,0.26341,1.38192,3.55854,2.56498,0.000748813,0.000748813,0.000748813
83,30230.9,0.72118,1.05256,1.29336,0.34481,0.35,0.3326,0.19089,1.61329,3.45479,2.96469,0.000742625,0.000742625,0.000742625
84,30593.4,0.70327,0.91682,1.27921,0.32383,0.4,0.3382,0.21864,2.00242,3.8667,2.91685,0.000736438,0.000736438,0.000736438
85,30954.2,0.7102,0.99411,1.3072,0.44198,0.62313,0.51463,0.34676,1.4784,2.12966,2.96569,0.00073025,0.00073025,0.00073025
86,31314.7,0.66615,0.97325,1.2711,0.39066,0.60278,0.46776,0.29581,1.89842,2.68097,2.98936,0.000724062,0.000724062,0.000724062
87,31676.6,0.73174,1.01551,1.30078,0.249,0.44167,0.27197,0.19874,1.42524,2.96477,2.88201,0.000717875,0.000717875,0.000717875
88,32041.3,0.6983,1.00261,1.29025,0.33996,0.68991,0.39556,0.29288,1.40675,2.31678,3.19974,0.000711687,0.000711687,0.000711687
89,32404.5,0.69508,0.96402,1.29032,0.36309,0.38249,0.3227,0.23305,1.54509,2.7634,3.37837,0.0007055,0.0007055,0.0007055
90,32767.5,0.67238,0.89288,1.2555,0.40572,0.40067,0.3842,0.25302,1.53924,2.36449,2.88768,0.000699312,0.000699312,0.000699312
